EventID	Timestamp	NodeID	Location	EventType	Temperature_C	Humidity_pct	Wind_kmh	Vibration_g	PoissonLambda	PoissonK	PoissonProbability	Magnitude
EVT-845123	2026-06-03T19:03:11.215847900	NODE-041	Silifke	Ani Yaðýþ	22,09	65	10	0,1994	0,5	23	0	0,6199
EVT-169152	2026-06-03T19:03:11.215847900	NODE-040	Taþucu	Düþük Görüþ	23,41	65	10	0,1591	0,5	23	0	0,7275
EVT-816007	2026-06-03T19:03:11.215847900	NODE-040	Taþucu	Kaya Titreþimi	24,64	65	10	0,1591	0,5	23	0	0,6946
EVT-423500	2026-06-03T19:03:11.215847900	NODE-039	Silifke Yakýný	Mikro Heyelan	24,55	65	10	0,0391	0,5	23	0	0,6154
EVT-247363	2026-06-03T19:03:11.215847900	NODE-039	Silifke Yakýný	Mikro Heyelan	22,48	65	10	0,0391	0,5	23	0	0,9308
EVT-987770	2026-06-03T19:03:11.215847900	NODE-038	Göksu Deltasý	Sis Yoðunlaþmasý	22,69	65	10	0,165	0,5	23	0	0,7891
EVT-699351	2026-06-03T19:03:11.215847900	NODE-032	Kaya Kütlesi	Düþük Görüþ	23,76	65	10	0,4647	0,5	23	0	0,7707
EVT-246930	2026-06-03T19:03:11.215847900	NODE-031	Aydýncýk Doðu	Sis Yoðunlaþmasý	21,92	65	10	0,0301	0,5	23	0	0,5768
EVT-213170	2026-06-03T19:03:11.215847900	NODE-029	Aydýncýk Batý	Sis Yoðunlaþmasý	23,33	65	10	0,1222	0,5	23	0	0,5233
EVT-938729	2026-06-03T19:03:11.215847900	NODE-026	Bozyazý Doðu	Düþük Görüþ	22,33	65	10	0,1721	0,5	23	0	0,8908
EVT-734336	2026-06-03T19:03:11.215847900	NODE-025	Bozyazý	Düþük Görüþ	24,06	65	10	0,1189	0,5	23	0	0,7916
EVT-311609	2026-06-03T19:03:11.215847900	NODE-024	Bozyazý Batý	Sis Yoðunlaþmasý	22,48	65	10	0,1708	0,5	23	0	0,5521
EVT-391438	2026-06-03T19:03:11.215847900	NODE-023	Yüksek Kýyý	Mikro Heyelan	24,24	65	10	0,4901	0,5	23	0	0,6201
EVT-427691	2026-06-03T19:03:11.215847900	NODE-013	Karakabaklar	Ani Yaðýþ	24,66	65	10	0,7254	0,5	23	0	0,7261
EVT-389795	2026-06-03T19:03:03.210856700	NODE-042	Alanya Uçurum	Ani Yaðýþ	22,12	65	10	1,0285	0,5	16	0	0,9552
EVT-285718	2026-06-03T19:03:03.210856700	NODE-032	Kaya Kütlesi	Kaygan Yol	23,54	65	10	0,2918	0,5	16	0	0,4563
EVT-902258	2026-06-03T19:03:03.210856700	NODE-031	Aydýncýk Doðu	Þiddetli Rüzgar	23,52	65	10	0,0732	0,5	16	0	0,4145
EVT-544919	2026-06-03T19:03:03.210856700	NODE-029	Aydýncýk Batý	Ani Yaðýþ	23,31	65	10	0,1293	0,5	16	0	0,4011
EVT-169610	2026-06-03T19:03:03.210856700	NODE-005	Yüksek Viraj	Düþük Görüþ	23,84	65	10	0,7082	0,5	16	0	0,8587
EVT-513280	2026-06-03T19:03:03.210856700	NODE-004	Kaledran	Düþük Görüþ	22,17	65	10	0,9793	0,5	16	0	0,6455
EVT-153481	2026-06-03T19:03:03.210856700	NODE-003	Koru Burnu	Kaya Titreþimi	23,5	65	10	0,6089	0,5	16	0	0,4728
EVT-440545	2026-06-03T19:03:03.210856700	NODE-002	Alanya-Gazipaþa	Ani Yaðýþ	23,62	65	10	0,1613	0,5	16	0	0,9122
EVT-371881	2026-06-03T19:03:03.210856700	NODE-001	Alanya Doðu	Sis Yoðunlaþmasý	24,8	65	10	0,1726	0,5	16	0	0,965
EVT-725633	2026-06-03T19:02:55.213599600	NODE-043	Kayalýk Tepe	Kaya Titreþimi	23,72	65	10	0,499	0,5	29	0	0,9694
EVT-986413	2026-06-03T19:02:55.213599600	NODE-042	Alanya Uçurum	Düþük Görüþ	24,37	65	10	0,6301	0,5	29	0	0,9391
